epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,17314.1,1.12658,0.76427,1.30395,0.8192,0.7408,0.81332,0.5163,1.30626,0.84409,1.46228,2.872e-05,2.872e-05,2.872e-05
146,17399.7,1.13748,0.78143,1.30643,0.81711,0.74164,0.81324,0.51599,1.30722,0.84296,1.46272,2.8225e-05,2.8225e-05,2.8225e-05
147,17485.6,1.14019,0.77057,1.31167,0.8153,0.74247,0.81303,0.51596,1.30549,0.84104,1.46069,2.773e-05,2.773e-05,2.773e-05
148,17571.3,1.12958,0.77192,1.30719,0.81429,0.74422,0.81344,0.51636,1.3059,0.83986,1.46146,2.7235e-05,2.7235e-05,2.7235e-05
149,17657.2,1.13887,0.76955,1.31128,0.81314,0.74591,0.81336,0.51577,1.30685,0.84129,1.46392,2.674e-05,2.674e-05,2.674e-05
150,17743.1,1.1318,0.76724,1.31095,0.81052,0.74498,0.81261,0.51511,1.30613,0.84432,1.46402,2.6245e-05,2.6245e-05,2.6245e-05
151,17828.9,1.13321,0.76961,1.30675,0.81259,0.74749,0.81312,0.51636,1.30701,0.84595,1.46574,2.575e-05,2.575e-05,2.575e-05
152,17914.7,1.12553,0.77131,1.31157,0.81179,0.74916,0.81367,0.51762,1.30789,0.8447,1.46814,2.5255e-05,2.5255e-05,2.5255e-05
153,18000.3,1.12279,0.76191,1.30917,0.80916,0.74802,0.81362,0.51727,1.30799,0.84301,1.46904,2.476e-05,2.476e-05,2.476e-05
154,18086.4,1.12334,0.75806,1.30693,0.80801,0.75334,0.81467,0.51589,1.31006,0.84361,1.47027,2.4265e-05,2.4265e-05,2.4265e-05
155,18172.4,1.12516,0.76276,1.30795,0.80951,0.74971,0.81286,0.51643,1.31092,0.84311,1.47149,2.377e-05,2.377e-05,2.377e-05
156,18258.3,1.13636,0.77386,1.31597,0.80334,0.75334,0.81528,0.51622,1.31176,0.84301,1.47312,2.3275e-05,2.3275e-05,2.3275e-05
157,18344.3,1.12179,0.76325,1.3021,0.80126,0.75502,0.81533,0.51644,1.3125,0.8428,1.47379,2.278e-05,2.278e-05,2.278e-05
158,18430.5,1.12633,0.7686,1.31078,0.80537,0.75502,0.81611,0.51691,1.31403,0.84267,1.47471,2.2285e-05,2.2285e-05,2.2285e-05
159,18516.5,1.12872,0.7658,1.30147,0.7973,0.76171,0.81717,0.51671,1.31497,0.84103,1.47514,2.179e-05,2.179e-05,2.179e-05
160,18602.6,1.12057,0.75298,1.30054,0.80771,0.75251,0.81782,0.5168,1.31303,0.8403,1.47151,2.1295e-05,2.1295e-05,2.1295e-05
161,18688.5,1.12116,0.75653,1.29668,0.79824,0.76417,0.8182,0.51773,1.31314,0.83806,1.47159,2.08e-05,2.08e-05,2.08e-05
162,18774.4,1.12407,0.75905,1.30219,0.79796,0.76338,0.81796,0.51703,1.31281,0.83882,1.47159,2.0305e-05,2.0305e-05,2.0305e-05
163,18860.4,1.12096,0.74949,1.30093,0.79691,0.76118,0.81789,0.51683,1.31293,0.83917,1.47144,1.981e-05,1.981e-05,1.981e-05
164,18946.2,1.12999,0.76715,1.29785,0.79446,0.76254,0.81816,0.5169,1.31367,0.83984,1.47219,1.9315e-05,1.9315e-05,1.9315e-05
165,19031.9,1.10667,0.75165,1.29054,0.79873,0.75985,0.81879,0.51749,1.31416,0.84158,1.47288,1.882e-05,1.882e-05,1.882e-05
